,count,mean,std,min,25%,50%,75%,max,median
AppCategory_AUDIO_hours,552.0,0.0509993961352657,0.14519146220544787,0.0,0.0,0.003611111111111111,0.01923611111111111,1.0361111111111112,0.003611111111111111
AppCategory_GAME_hours,552.0,0.11243005233494363,0.19656726379434783,0.0,0.0,0.0,0.14465277777777777,1.1088888888888888,0.0
AppCategory_IMAGE_hours,552.0,0.020863023349436394,0.09678874983400686,0.0,0.0,0.0,0.0002777777777777778,0.8583333333333333,0.0
AppCategory_MAPS_hours,552.0,0.10763486312399355,0.2006327010939514,0.0,0.005833333333333334,0.018333333333333333,0.09756944444444444,1.065,0.018333333333333333
AppCategory_NEWS_hours,552.0,0.002142713365539453,0.017702307761257127,0.0,0.0,0.0,0.0,0.2602777777777778,0.0
AppCategory_PRODUCTIVITY_hours,552.0,0.08050523349436393,0.1894297544642723,0.0,0.003611111111111111,0.010277777777777778,0.04701388888888888,1.2716666666666667,0.010277777777777778
AppCategory_SOCIAL_hours,552.0,0.1038466183574879,0.18427970860557977,0.0002777777777777778,0.011875,0.03666666666666667,0.105625,1.2780555555555555,0.03666666666666667
AppCategory_UNDEFINED_hours,552.0,0.05296698872785829,0.12965268432074753,0.0002777777777777778,0.0030555555555555557,0.01138888888888889,0.03409722222222222,0.9997222222222222,0.01138888888888889
AppCategory_VIDEO_hours,552.0,0.19475795088566827,0.2331245734846878,0.0,0.011666666666666667,0.10958333333333334,0.29118055555555555,1.4416666666666667,0.10958333333333334
PHQ9_score,552.0,1.835144927536232,3.0578209470920843,0.0,0.0,1.0,3.0,23.0,1.0
GAD7_score,552.0,1.375,2.3632758187061675,0.0,0.0,0.0,2.0,15.0,0.0
Stress_score,552.0,4.831521739130435,10.099265172612796,0.0,0.0,0.0,5.0,73.0,0.0
