feature,target,rho,p_raw,p_fdr,sig_fdr,abs_rho
AppCategory_NEWS_hours,GAD7_score,0.103578512284853,0.014909127953569,0.2012732273731818,False,0.103578512284853
AppCategory_GAME_hours,GAD7_score,0.0793970482088388,0.0623043880718853,0.2920325586191091,False,0.0793970482088388
AppCategory_IMAGE_hours,GAD7_score,0.0789974981908592,0.0636372235015136,0.2920325586191091,False,0.0789974981908592
AppCategory_PRODUCTIVITY_hours,GAD7_score,0.0513401421141582,0.2284813006961427,0.8416174183943423,False,0.0513401421141582
AppCategory_SOCIAL_hours,GAD7_score,0.0432812395123381,0.3100822506262619,0.8416174183943423,False,0.0432812395123381
AppCategory_IMAGE_hours,PHQ9_score,0.1042468186682567,0.0142708249095206,0.2012732273731818,False,0.1042468186682567
AppCategory_UNDEFINED_hours,PHQ9_score,-0.0829791089718258,0.051354011802657,0.2920325586191091,False,0.0829791089718258
AppCategory_GAME_hours,PHQ9_score,0.0419445417476932,0.3252765100108327,0.8416174183943423,False,0.0419445417476932
AppCategory_NEWS_hours,PHQ9_score,0.0379067940709873,0.374052185953041,0.8416174183943423,False,0.0379067940709873
AppCategory_AUDIO_hours,PHQ9_score,0.0300310625791563,0.4813520617804319,0.8837458023302471,False,0.0300310625791563
AppCategory_UNDEFINED_hours,Stress_score,-0.0786263938696726,0.0648961241375798,0.2920325586191091,False,0.0786263938696726
AppCategory_PRODUCTIVITY_hours,Stress_score,-0.0398618915515844,0.349896040962134,0.8416174183943423,False,0.0398618915515844
AppCategory_IMAGE_hours,Stress_score,0.0266637416004385,0.5318744846394106,0.8837458023302471,False,0.0266637416004385
AppCategory_MAPS_hours,Stress_score,0.0252835029915526,0.5533310656542596,0.8837458023302471,False,0.0252835029915526
AppCategory_GAME_hours,Stress_score,0.0150360784289663,0.7244730851119043,0.9241090795583756,False,0.0150360784289663
