Category,Variable,VIF
GAME,AppCategory_GAME_c,1.002273405148311
GAME,sleep_c,1.0250050604620262
GAME,GAME_x_sleep,1.0254980947903756
MAPS,AppCategory_MAPS_c,1.0268509590947246
MAPS,sleep_c,1.0116296213649092
MAPS,MAPS_x_sleep,1.030979411843826
NEWS,AppCategory_NEWS_c,1.0
NEWS,sleep_c,inf
NEWS,NEWS_x_sleep,inf
PRODUCTIVITY,AppCategory_PRODUCTIVITY_c,1.0558574023068354
PRODUCTIVITY,sleep_c,1.0045741109792279
PRODUCTIVITY,PRODUCTIVITY_x_sleep,1.0558224102216391
SOCIAL,AppCategory_SOCIAL_c,1.06742066169391
SOCIAL,sleep_c,1.010321403871551
SOCIAL,SOCIAL_x_sleep,1.0711521595464417
VIDEO,AppCategory_VIDEO_c,1.0796734606041376
VIDEO,sleep_c,1.045933116700471
VIDEO,VIDEO_x_sleep,1.1109491472601905
